time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446400000	17.0564	5.00241	4.88324	0.738678	0.334477	lidar	2.87895	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2306	5.15268	4.8268	0.752594	0.332501	radar	1.08641	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3837	5.3529	4.83683	0.782532	0.343893	lidar	0.912152	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.544	5.50144	4.74959	0.796216	0.341544	radar	2.35796	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7221	5.65783	4.74905	0.806703	0.335928	lidar	0.286108	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8737	5.8299	4.66184	0.827437	0.340335	radar	0.922651	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0408	6.04448	4.72667	0.853582	0.348207	lidar	1.29745	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1971	6.23792	4.75421	0.874023	0.350724	radar	1.07342	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3197	6.48903	4.80938	0.91524	0.370896	lidar	2.44085	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4583	6.68558	4.77706	0.937352	0.374529	radar	0.500423	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5925	6.84923	4.72994	0.94958	0.368927	lidar	0.596274	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7434	7.05453	4.81861	0.965646	0.365925	radar	0.673721	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9242	7.22609	4.82644	0.966603	0.351352	lidar	2.72908	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0205	7.40783	4.65721	0.992489	0.360211	radar	3.8198	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1148	7.67986	4.73812	1.03592	0.3818	lidar	2.81758	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2375	7.88239	4.75371	1.0529	0.379683	radar	0.159992	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3151	8.10864	4.74712	1.08553	0.391048	lidar	1.83229	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4154	8.31639	4.77331	1.10493	0.38991	radar	2.18315	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5004	8.47708	4.67114	1.11805	0.384189	lidar	2.86444	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5952	8.67728	4.6202	1.13755	0.385078	radar	0.414799	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7424	8.87544	4.64198	1.14041	0.371599	lidar	3.65023	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8226	9.08585	4.5738	1.16483	0.377786	radar	0.932542	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9452	9.3301	4.65512	1.18085	0.375829	lidar	3.26183	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0015	9.53205	4.51485	1.20927	0.386197	radar	2.42706	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0849	9.78497	4.58866	1.23453	0.391498	lidar	1.15871	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1491	10.0333	4.67232	1.26069	0.396093	radar	7.52144	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.199	10.3163	4.76502	1.29623	0.409522	lidar	1.51458	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2267	10.5319	4.63252	1.32877	0.422263	radar	3.39271	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2827	10.8214	4.74932	1.35913	0.430486	lidar	2.49452	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3151	11.0743	4.78109	1.38801	0.436622	radar	5.17488	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3468	11.3223	4.80059	1.41431	0.440375	lidar	0.0978366	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3172	11.535	4.56581	1.46208	0.467908	radar	12.4358	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3777	11.7954	4.64114	1.47795	0.462193	lidar	4.06376	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3978	12.033	4.7325	1.49644	0.455006	radar	3.17224	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3832	12.3363	4.85568	1.53531	0.468759	lidar	1.84038	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3505	12.5504	4.67489	1.57618	0.48864	radar	4.56823	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3671	12.8039	4.7163	1.59587	0.48501	lidar	1.30949	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3608	13.0217	4.64797	1.62043	0.486869	radar	2.05148	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3236	13.2406	4.62189	1.65095	0.491724	lidar	1.14388	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2897	13.4663	4.61583	1.67904	0.494384	radar	1.39118	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2601	13.7437	4.71359	1.70664	0.497232	lidar	1.44	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2138	13.9572	4.63117	1.73821	0.505352	radar	1.20924	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1513	14.2298	4.72625	1.77132	0.512178	lidar	0.792267	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0848	14.4501	4.69614	1.80318	0.518091	radar	1.67242	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9719	14.7222	4.80392	1.84692	0.532983	lidar	2.30723	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9046	14.9346	4.7832	1.8714	0.529624	radar	3.05937	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8655	15.1585	4.76072	1.88713	0.520886	lidar	1.40268	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7569	15.3491	4.57295	1.93921	0.553957	radar	9.70673	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7218	15.5393	4.50057	1.95225	0.541898	lidar	2.04836	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6355	15.732	4.46519	1.98055	0.543243	radar	1.17783	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.523	15.961	4.53028	2.01263	0.547462	lidar	0.309009	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4217	16.1635	4.55143	2.03725	0.542533	radar	1.4807	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.308	16.3476	4.52297	2.06826	0.545515	lidar	0.558624	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1962	16.5367	4.49782	2.09838	0.549249	radar	0.300267	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0536	16.7648	4.59065	2.13032	0.553168	lidar	0.533823	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
